IncidentDate,IncidentTime,FlightID,Aircraft,Altitude,Airport,LaserColor,Injury,City,State
1-Jan-18,0015,UAL4,B77W,1200,IAH,Green,No,Houston,Texas
1-Jan-18,0032,AAL916,A319,7000,TMB,Green,No,Miami,Florida
1-Jan-18,0257,SKW4957,CRJ7,7000,SLC,Green,No,Salt Lake City,Utah
1-Jan-18,0302,CPZ6091,E75L,1000,LAX,Green,No,Los Angeles,California
1-Jan-18,0318,UPS5901,B747,10000,SDF,Green,No,Louisville,Kentucky
1-Jan-18,0354,SWA3450,B737,1000,LAX,Green,No,Los Angeles,California
1-Jan-18,0410,SWA4661,B738,2000,MCO,Green,No,Orlando,Florida
1-Jan-18,0440,SKW5118,CRJ2,15000,LAX,Green,No,Los Angeles,California
1-Jan-18,0445,FFT1511,A320,15000,OBK,Green,No,Northbrook,Illinois
1-Jan-18,0445,SKW5177,CRJ7,6500,TUS,Purple,No,Tucson,Arizona
1-Jan-18,0453,GJS6192,CRJ 7,1800,MEM,Green,No,Memphis,Tennessee
1-Jan-18,0709,ASA488,B737,8000,SAN,Green,No,San Diego,California
1-Jan-18,0820,EVAC24,HELO,9500,TUS,Green,No,Tucson,Arizona
1-Jan-18,0820,PHMM24,AS50,9500,TUS,Green,No,Tucson,Arizona
1-Jan-18,0825,SURVEY1,C206,5500,TUS,Green,No,Tucson,Arizona
1-Jan-18,0917,AIRR1,HELO,2500,OKC,Green,No,Oklahoma City,Oklahoma
2-Jan-18,0058,LM30,HELO,3000,LAS,Green,No,Las Vegas,Nevada
2-Jan-18,0111,AAL550R,A321,7000,LGA,Green,No,New York,New York
2-Jan-18,0116,ENY3820,E145,7000,LGA,Green,No,New York,New York
2-Jan-18,0141,JIA5110,CRJ2,8900,BHM,Green,No,Birmingham,Alabama
2-Jan-18,0202,UAL980,B788,40000,STL,Green,No,St. Louis,Missouri
2-Jan-18,0203,DAL2110,B738,7900,SLC,Green,No,Salt Lake City,Utah
2-Jan-18,0210,DAL2360,B739,6100,SLC,Green,No,Salt Lake City,Utah
